Held_out	Top_split_var	Top_split_threshold	TP	FP	FN	TN	Precision	Recall	F1
H2009	SS	50.5	164	297	29	1021	0.356	0.85	0.502
HCC1395	SS	52.5	483	194	100	338	0.713	0.828	0.767
HCC1937	SS	49.5	310	185	43	667	0.626	0.878	0.731
HCC1954	SS	49.5	306	302	41	561	0.503	0.882	0.641
H1437	SS	49.5	76	56	10	443	0.576	0.884	0.697
Hs578T	SS	49.5	37	23	6	714	0.617	0.86	0.718
HG008	SS	52.5	44	40	1	571	0.524	0.978	0.682
COLO829	SS	52.5	22	23	10	415	0.489	0.688	0.571
MEAN	NA	NA	NA	NA	NA	NA	0.55	0.856	0.664
SD	NA	NA	NA	NA	NA	NA	0.108	0.081	0.089
